x	y	precise_y	difference
+1.4600e-02	+9.8551e-01	+9.8551e-01	-7.1937e-07
+1.4700e-02	+9.8541e-01	+9.8541e-01	-7.2423e-07
+1.4800e-02	+9.8531e-01	+9.8531e-01	-7.2908e-07
+1.4900e-02	+9.8521e-01	+9.8521e-01	-7.3393e-07
+1.5000e-02	+9.8511e-01	+9.8511e-01	-7.3878e-07
+1.5100e-02	+9.8501e-01	+9.8501e-01	-7.4364e-07
+1.5200e-02	+9.8492e-01	+9.8491e-01	-7.4849e-07
+1.5300e-02	+9.8482e-01	+9.8482e-01	-7.5333e-07
+1.5400e-02	+9.8472e-01	+9.8472e-01	-7.5818e-07
+1.5500e-02	+9.8462e-01	+9.8462e-01	-7.6303e-07
+1.5600e-02	+9.8452e-01	+9.8452e-01	-7.6788e-07
+1.5700e-02	+9.8442e-01	+9.8442e-01	-7.7272e-07
+1.5800e-02	+9.8432e-01	+9.8432e-01	-7.7756e-07
+1.5900e-02	+9.8423e-01	+9.8423e-01	-7.8241e-07
+1.6000e-02	+9.8413e-01	+9.8413e-01	-7.8725e-07
+1.6100e-02	+9.8403e-01	+9.8403e-01	-7.9209e-07
+1.6200e-02	+9.8393e-01	+9.8393e-01	-7.9693e-07
+1.6300e-02	+9.8383e-01	+9.8383e-01	-8.0177e-07
+1.6400e-02	+9.8373e-01	+9.8373e-01	-8.0661e-07
+1.6500e-02	+9.8364e-01	+9.8364e-01	-8.1145e-07
+1.6600e-02	+9.8354e-01	+9.8354e-01	-8.1628e-07
+1.6700e-02	+9.8344e-01	+9.8344e-01	-8.2112e-07
+1.6800e-02	+9.8334e-01	+9.8334e-01	-8.2595e-07
+1.6900e-02	+9.8324e-01	+9.8324e-01	-8.3078e-07
+1.7000e-02	+9.8314e-01	+9.8314e-01	-8.3562e-07
+1.7100e-02	+9.8305e-01	+9.8305e-01	-8.4045e-07
+1.7200e-02	+9.8295e-01	+9.8295e-01	-8.4528e-07
+1.7300e-02	+9.8285e-01	+9.8285e-01	-8.5011e-07
+1.7400e-02	+9.8275e-01	+9.8275e-01	-8.5494e-07
+1.7500e-02	+9.8265e-01	+9.8265e-01	-8.5976e-07
+1.7600e-02	+9.8255e-01	+9.8255e-01	-8.6459e-07
+1.7700e-02	+9.8246e-01	+9.8246e-01	-8.6942e-07
+1.7800e-02	+9.8236e-01	+9.8236e-01	-8.7424e-07
+1.7900e-02	+9.8226e-01	+9.8226e-01	-8.7906e-07
+1.8000e-02	+9.8216e-01	+9.8216e-01	-8.8389e-07
+1.8100e-02	+9.8206e-01	+9.8206e-01	-8.8871e-07
+1.8200e-02	+9.8197e-01	+9.8196e-01	-8.9353e-07
+1.8300e-02	+9.8187e-01	+9.8187e-01	-8.9835e-07
+1.8400e-02	+9.8177e-01	+9.8177e-01	-9.0317e-07
+1.8500e-02	+9.8167e-01	+9.8167e-01	-9.0798e-07
+1.8600e-02	+9.8157e-01	+9.8157e-01	-9.1280e-07
+1.8700e-02	+9.8147e-01	+9.8147e-01	-9.1762e-07
+1.8800e-02	+9.8138e-01	+9.8138e-01	-9.2243e-07
+1.8900e-02	+9.8128e-01	+9.8128e-01	-9.2725e-07
+1.9000e-02	+9.8118e-01	+9.8118e-01	-9.3206e-07
+1.9100e-02	+9.8108e-01	+9.8108e-01	-9.3687e-07
+1.9200e-02	+9.8098e-01	+9.8098e-01	-9.4168e-07
+1.9300e-02	+9.8089e-01	+9.8089e-01	-9.4649e-07
+1.9400e-02	+9.8079e-01	+9.8079e-01	-9.5130e-07
+1.9500e-02	+9.8069e-01	+9.8069e-01	-9.5611e-07
+1.9600e-02	+9.8059e-01	+9.8059e-01	-9.6092e-07
+1.9700e-02	+9.8049e-01	+9.8049e-01	-9.6572e-07
+1.9800e-02	+9.8040e-01	+9.8039e-01	-9.7053e-07
+1.9900e-02	+9.8030e-01	+9.8030e-01	-9.7533e-07
